Code,title,Fully Specified Name,Description,Inclusions,Exclusions
02,Neoplasms,,"An abnormal or uncontrolled cellular proliferation which is not coordinated with an organism's requirements for normal tissue growth, replacement or repair.",,
2A00,Primary neoplasms of brain,,,,
2A00.0,Gliomas of brain,,,,
2A00.00,Glioblastoma of brain,,"Glioblastomas are malignant astrocytic tumours (grade IV according to the WHO classification). They represent the most frequent brain tumours in adults. They may occur at any age, but 70% of cases are seen in patients between 45 and 70 years of age. The tumours are usually located in the brain hemispheres, but can be found anywhere in the central nervous system.",glioblastoma NOS,
2A00.1,Embryonal tumours of brain,,,,
2A00.10,Medulloblastoma of brain,,"A malignant, invasive embryonal neoplasm arising from the cerebellum. It occurs predominantly in children and has the tendency to metastasize via the cerebrospinal fluid pathways. Signs and symptoms include truncal ataxia, disturbed gait, lethargy, headache, and vomiting. There are four histologic variants: anaplastic medulloblastoma, desmoplastic/nodular medulloblastoma, large cell medulloblastoma, and medulloblastoma with extensive nodularity.",,
2A00.11,Central primitive neuroectodermal tumour,,A malignant neoplasm that originates in the neuroectoderm. The neuroectoderm constitutes the portion of the ectoderm of the early embryo that gives rise to the central and peripheral nervous systems and includes some glial cell precursors.,,
2A00.2,Tumours of neuroepithelial tissue of brain,,,,
2A00.20,Tumours of the pineal gland or pineal region,,,,
2A00.21,Mixed neuronal-glial tumours,,,,
2A00.22,Choroid plexus tumours,,,,
2A00.3,Central neurocytoma of brain,,Central neurocytoma is a very rare brain tumour of young adults. It is typically found in the lateral ventricles and occasionally in the third ventricle. Symptoms are those of increased intracranial pressure.,,
2A00.4,Astroblastoma of the brain,,"A rare glial neoplasm more commonly found in young adults. It is characterised by tumour cells with characteristics suggestive of an astrocytic origin (positive for GFAP), arranged perivascularly. The cells have broad, non-tapering processes radiating towards a central blood vessel. The biologic behaviour of astroblastomas is variable, so no WHO grade has been established, yet.",,
2A00.5,Primary neoplasm of brain of unknown or unspecified type,,,,
2A01,Primary neoplasms of meninges,,,,
2A01.0,Meningiomas,,,,
2A01.00,Primary malignant meningioma,,,,
2A01.1,Mesenchymal tumour of meninges,,,,
2A01.2,Primary neoplasm of meninges of unknown or unspecified type,,,,
2A02,"Primary neoplasm of spinal cord, cranial nerves, paraspinal nerves or remaining parts of central nervous system",,,,
2A02.0,"Gliomas of spinal cord, cranial or paraspinal nerves",,,,
2A02.00,"Glioblastoma of spinal cord, cranial or paraspinal nerves",,,,
2A02.1,Tumours of cranial or paraspinal nerves,,,,
2A02.10,Malignant peripheral nerve sheath tumour of cranial or paraspinal nerves,,Malignant schwannoma is a tumour of the peripheral nervous system that arises in the nerve sheath.,,"Malignant nerve sheath tumour of peripheral nerves or autonomic nervous system, primary site"
2A02.11,Paraspinal neuroblastoma,,,,
2A02.12,Malignant neoplasm of the optic nerve,,,,
2A02.2,Primary neoplasm of spinal cord of unknown or unspecified type,,,,
2A02.3,Benign neoplasm of cranial nerves,,This is a tumour of cranial nerves having none of the characteristics of a malignant neoplasm.,Vestibular schwannoma,
2A02.4,Benign neoplasm of spinal cord,,,,
2A20,Non mast cell myeloproliferative neoplasms,,,,
2A20.0,"Chronic myelogenous leukaemia, BCR-ABL1-positive",,,,"Chronic myeloid leukaemia, not elsewhere classified; Atypical chronic myeloid leukaemia, BCR-ABL1-negative; Chronic myelomonocytic leukaemia"
2A20.00,Chronic myelogenous leukaemia with blast crisis,,,,
2A20.01,"Chronic myelogenous leukaemia, Philadelphia chromosome (Ph1) positive",,,,
2A20.02,"Chronic myelogenous leukaemia, t(9:22)(q34; q11)",,,,
2A20.03,Naegeli-type monocytic leukaemia,,,,
2A20.1,Chronic neutrophilic leukaemia,,"A rare chronic myeloproliferative neoplasm characterised by sustained peripheral blood neutrophilia, bone marrow hypercellularity due to neutrophilic granulocyte proliferation, and hepatosplenomegaly. The neutrophils lack dysplasia and often show toxic granulations. There is no detectable Philadelphia chromosome or BCR/ABL1 fusion gene.",,
2A20.2,Primary myelofibrosis,,,chronic idiopathic myelofibrosis,Acute panmyelosis with myelofibrosis
2A20.3,"Chronic eosinophilic leukaemia, not elsewhere classified",,"A chronic myeloproliferative neoplasm characterised by persistent eosinophilia in the blood, bone marrow and peripheral tissues. Organ damage occurs as a result of leukaemic infiltration or the release of cytokines, enzymes or other proteins by the eosinophils. Chronic eosinophilic leukaemia, not otherwise specified excludes patients with a Ph chromosome, BCR-ABL1 fusion gene or rearrangement of PDGFRA, PDGFRB or FGFR1.",,
2A20.4,Polycythaemia vera,,"Polycythaemia vera (PV) is a clonal myeloproliferative neoplasm characterized by erythrocytosis frequently accompanied by leukocytosis, and/or thrombocytosis, and an associated increased risk of haemorrhagic and thrombotic (venous and arterial) complications. JAK2 p.V617F and JAK2 (Janus kinase 2) exon12 mutations have been strongly associated with PV.",,
2A20.5,"Non mast cell myeloproliferative neoplasm, unclassifiable",,"Cases that have definite features of myeloproliferative neoplasms (MPN), but fail to meet the criteria of a specific MPN subtype.",,
2A21,Mastocytosis,,"Mastocytosis is due to a clonal, neoplastic proliferation of mast cells that accumulate in one or more organ systems. Activating mutations of KIT are frequently found. It is characterised by the presence of multifocal compact clusters or cohesive aggregates/infiltrates of abnormal mast cells. The disorder is heterogeneous, ranging from skin lesions that may spontaneously regress to highly aggressive neoplasms associated with multiorgan failure and short survival. Subtypes of mastocytosis are recognised mainly by the distribution of the disease and clinical manifestations. In cutaneous mastocytosis (CM), the mast cell infiltration remains confined to the skin, whereas systemic mastocytosis (SM) is characterised by involvement of at least one extracutaneous organ with or without evidence of skin lesions. Mastocytosis should be strictly separated from mast cell hyperplasia or mast cell activation states without morphological and/or molecular abnormalities that characterize the neoplastic proliferation.",,
2A21.0,Systemic mastocytosis,,"Systemic mastocytosis (SM) comprises a heterogeneous group of rare acquired and chronic haematological malignancies that are related to an abnormal proliferation of mast cells in tissue, including bone marrow, with or without skin involvement. SM can be divided into indolent SM (ISM) and aggressive SM (ASM).",,
2A21.00,Mast cell leukaemia,,,,
2A21.1,Cutaneous mastocytosis,,"Cutaneous mastocytosis is characterised by abnormal accumulation and proliferation of cutaneous mast cells. Most types are isolated but cutaneous mastocytosis can occur in association with systemic disease. Clinical forms include cutaneous mastocytoma, urticaria pigmentosa (the most frequent form), pseudoxanthomatous nodular cutaneous mastocytosis, telangiectasia macularis eruptiva perstans and diffuse cutaneous mastocytosis.",,
2A21.10,Urticaria pigmentosa,,,Maculopapular cutaneous mastocytosis,
2A21.2,Mast cell sarcoma,,"A rare entity characterised by localised but destructive growth of a tumour consisting of highly atypical, immature mast cells.",,
2A21.3,Extracutaneous mastocytoma,,A localised tumour consisting of mature mast cells.,,
2A30,Refractory anaemia,,,,
2A31,Refractory neutropaenia,,A myelodysplastic syndrome characterised by the presence of at least 10% dysplastic neutrophils in the bone marrow or the peripheral blood.,,
2A32,Refractory thrombocytopenia,,"A myelodysplastic syndrome characterised by the presence of at least 10% dysplastic megakaryocytes, found within at least 30 megakaryocytes examined in the bone marrow.",,
2A33,Refractory anaemia with ring sideroblasts,,A myelodysplastic syndrome characterised by an anaemia in which 15% or more of the erythroid precursors are ringed sideroblasts. The ring sideroblast is an erythroid precursor in which one third or more of the nucleus is encircled by granules which are positive for iron stain.,,
2A34,Refractory cytopenia with multi-lineage dysplasia,,A myelodysplastic syndrome characterised by bi-cytopenia or pancytopenia and dysplastic changes in 10% or more of the cells in two or more of the myeloid cell lines.,,
2A35,Refractory anaemia with excess of blasts,,"A myelodysplastic syndrome characterised by bi-cytopenia or pancytopenia and dysplastic changes in one or multiple lineages, with 5-19% myeloblasts in the bone marrow, 2-19% blasts in the blood, or <20% blasts with the presence of Auer rods.",,
2A36,Myelodysplastic syndrome with isolated del(5q),,A myelodysplastic syndrome characterised by anaemia with or without other cytopenias and/or thrombocytosis and in which the sole cytogenetic abnormality is del(5q). Myeloblasts are <5% in the bone marrow and <1% in the blood.,5 q- syndrome,
2A37,"Myelodysplastic syndrome, unclassifiable",,"A subtype of myelodysplastic syndrome which at disease presentation lacks findings appropriate for classification into any other MDS category, or has an MDS-associated cytogenetic abnormality and cytopenia, but lack sufficient dysplastic changes in any lineage and have <15% ring sideroblasts.",,
2A38,Refractory cytopenia of childhood,,The most common subtype of the myelodysplastic syndromes affecting children. It is characterised by persistent cytopenia with less than 5% blasts in the bone marrow and less than 2% blasts in the peripheral blood.,,
2A40,Chronic myelomonocytic leukaemia,,"A myelodysplastic/myeloproliferative neoplasm which is characterised by persistent monocytosis, absence of a Philadelphia chromosome and BCR/ABL1 fusion gene, fewer than 20 percent blasts in the bone marrow and blood, often myelodysplasia, and absence of PDGFRA or PDGFRB rearrangement.",Chronic monocytic leukaemia,Myeloid or lymphoid neoplasm associated with PDGFRA rearrangement; Myeloid neoplasm associated with PDGFRB rearrangement
2A41,"Atypical chronic myeloid leukaemia, BCR-ABL1-negative",,"A myelodysplastic/myeloproliferative neoplasm characterised by the principal involvement of the neutrophil series with leukocytosis with circulating immature myeloid cells, fewer than 20 percent blasts in the bone marrow and blood, and severe dysgranulopoiesis. The neoplastic cells do not have a Philadelphia chromosome or the BCR/ABL1 fusion gene.",,
2A42,Juvenile myelomonocytic leukaemia,,"A myelodysplastic/myeloproliferative neoplasm of childhood that is characterised by proliferation principally of the granulocytic and monocytic lineages. Myelomonocytic proliferation is seen in the bone marrow and the blood. The leukemic cells may infiltrate any tissue, however liver, spleen, lymph nodes, skin, and respiratory tract are the most common sites of involvement.",,
2A42.0,Juvenile myelomonocytic leukaemia in complete remission,,,,
2A43,Refractory anaemia with ring sideroblasts associated with marked thrombocytosis,,"A provisional entity that encompasses cases with morphologic and clinical characteristics of refractory anaemia with ring sideroblasts, marked thrombocytosis, and abnormal megakaryocytes.",,
2A44,"Myeloproliferative and myelodysplastic disease, unclassifiable",,"This entity includes cases that have clinical, laboratory, and morphologic features that support the diagnosis of both a myelodysplastic syndrome and a myeloproliferative neoplasm, but do not meet the criteria for any of the other entities included in the myelodysplastic/myeloproliferative neoplasm category.",,
2A50,Myeloid or lymphoid neoplasm associated with PDGFRA rearrangement,,,,
2A51,Myeloid neoplasm associated with PDGFRB rearrangement,,"A distinct type of myeloid neoplasm that occurs in association with rearrangement of PDGFRB gene at 5q32. Patients usually present with a picture resembling chronic myelomonocytic leukaemia and, less often, atypical chronic myeloid leukaemia or chronic eosinophilic leukaemia.",,
2A52,Myeloid or lymphoid neoplasms with FGFR1 abnormalities,,"Hematologic neoplasms characterised by the rearrangement of the FGFR1 gene, resulting in translocations with an 8p11 breakpoint. Patients may present with a myeloproliferative neoplasm, acute myeloid leukaemia, lymphoblastic lymphoma/leukaemia of T or B-cell lineage, or acute leukaemia of mixed phenotype.",,
2A60,Acute myeloid leukaemias and related precursor neoplasms,,"Acute myeloid leukaemia is characterised by clonal expansion of myeloid blasts in the peripheral blood and bone marrow. Clinical manifestations are fever, pallor, anaemia, hemorrhages and recurrent infections.",,
2A60.0,Acute myeloid leukaemia with recurrent genetic abnormalities,,,,
2A60.1,Acute myeloid leukaemia with myelodysplasia-related changes,,"An acute myeloid leukaemia with at least 20% blasts in the bone marrow or blood, and either a previous history of myelodysplastic syndrome, multilineage dysplasia or typical myelodysplastic syndrome-related cytogenetic abnormalities. There is no history of prior cytotoxic therapy for an unrelated disorder, and there is absence of the genetic abnormalities that are present in acute myeloid leukaemia with recurrent genetic abnormalities.",,
2A60.2,Therapy-related myeloid neoplasms,,,therapy-related myelodysplastic syndromes,
2A60.20,Therapy related acute myeloid leukaemia or myelodysplastic syndrome,,,,
2A60.3,"Acute myeloid leukaemia, not elsewhere classified by criteria of other types",,"Acute myeloid leukaemias specified by morphological criteria should only be classified as such, if recurrent genetic abnormalities, prior history of a myelodysplastic syndrome or myelodysplastic/myeloproliferative neoplasm, or history of cytotoxic chemotherapy and/or radiotherapy are absent.",,Acute myeloid leukaemia with recurrent genetic abnormalities; Therapy-related myeloid neoplasms; Acute myeloid leukaemia with myelodysplasia-related changes
2A60.30,Acute myeloid leukaemia with minimal differentiation,,An acute myeloid leukaemia (AML) in which the blasts do not show evidence of myeloid differentiation by morphology and conventional cytochemistry.,,
2A60.31,Acute myeloid leukaemia without maturation,,An acute myeloid leukaemia (AML) characterised by blasts without evidence of maturation to more mature neutrophils.,,
2A60.32,Acute myeloid leukaemia with maturation,,An acute myeloid leukaemia (AML) characterised by blasts with evidence of maturation to more mature neutrophils.,,
2A60.33,Acute myelomonocytic leukaemia,,An acute leukaemia characterised by the proliferation of both neutrophil and monocyte precursors.,,
2A60.34,Acute monoblastic or monocytic leukaemia,,"Acute monoblastic leukaemia and acute monocytic leukaemia are myeloid leukaemias in which 80% or more of the leukaemic cells are of monocytic lineage including monoblasts, promonocytes and monocytes; a minor neutrophil component, <20%, may be present.",,
2A60.35,Acute erythroid leukaemia,,,Erythroleukaemia,
2A60.36,Acute megakaryoblastic leukaemia,,An acute myeloid leukaemia in which at least 50% of the blasts are of megakaryocytic lineage.,"Acute megakaryocytic leukaemia; Acute myeloid leukaemia, M7",
2A60.37,Acute basophilic leukaemia,,An acute myeloid leukaemia in which the immature cells differentiate towards basophils. This is a rare leukaemia.,,
2A60.38,Acute panmyelosis with myelofibrosis,,An acute myeloid leukaemia characterised by bone marrow fibrosis without preexisting primary myelofibrosis.,Acute myelofibrosis,Cases that meet criteria for AML with myelodysplasia related changes
2A60.39,Myeloid sarcoma,,Myeloid sarcoma is a rare solid tumour of the myelogenous cells occurring in an extramedullary site.,Chloroma; Granulocytic sarcoma,
2A60.4,Myeloid proliferation associated with Down syndrome,,"Myeloid neoplasms occurring in individuals with Down syndrome. There is an increased risk of acute leukaemias in both children and adults with Down syndrome. In particular, the incidence of acute myeloid leukaemia in Down syndrome children of less than five years of age is particularly high, it is usually an acute megakaryoblastic leukaemia, and is associated with GATA1 gene mutation. This group of disorders also includes the entity transient abnormal myelopoiesis which occurs in neonates and is associated with GATA1 gene mutation.",,
2A60.40,Transient abnormal myelopoiesis,,A myeloid proliferation occurring in newborns with Down syndrome. It is clinically and morphologically indistinguishable from acute myeloid leukaemia and is associated with GATA1 mutations. The blasts display morphologic and immunophenotypic features of megakaryocytic lineage. In the majority of patients the myeloid proliferation undergoes spontaneous remission.,,
2A60.41,Myeloid leukaemia associated with Down syndrome,,Leukaemia of children with Down syndrome. Encompasses both MDS and AML,,
2A60.5,Blastic plasmacytoid dendritic cell neoplasm,,"Blastic plasmacytoid dendritic cell neoplasm (BPDCN) is a clinically aggressive tumour derived from the precursors of plasmacytoid dendritic cells (PDCs, also called professional type I interferon–producing cells or plasmacytoid monocytes), with a high frequency of cutaneous and bone marrow involvement and leukaemic dissemination.

There are currently no clues to the etiology of BPDCN, but its association with myelodysplastic syndrome (MDS) in some cases may suggest a related pathogenesis. Gene expression profiling studies have revealed that the neoplastic cells show a gene expression signature similar to that of resting normal PDCs and closer to that of myeloid than of lymphoid precursors.",blastic NK-cell lymphoma,
2A61,Acute leukaemias of ambiguous lineage,,An acute leukaemia in which the blasts lack sufficient evidence to classify as myeloid or lymphoid or they have morphologic and/or immunophenotypic characteristics of both myeloid and lymphoid cells.,,
2A70,Precursor B-lymphoblastic neoplasms,,Neoplasms of lymphoblasts committed to the B-cell lineage.,,
2A70.0,"B lymphoblastic leukaemia or lymphoma, not elsewhere classified",,Precursor B cell neoplasm without defined recurrent genetic abnormality despite appropriate diagnostics,,
2A70.1,B lymphoblastic leukaemia or lymphoma with t(9:22) (q34;q11.2); BCR-ABL1,,A precursor lymphoid neoplasm which is composed of B-lymphoblasts and carries a translocation between the BCR gene on chromosome 22 and the ABL1 gene on chromosome 9. It results in the production of the p190 kd or p210 kd fusion protein. It has an unfavorable clinical outcome.,,
2A71,Precursor T-lymphoblastic neoplasms,,"A neoplasm of lymphoblasts committed to the T-cell lineage, typically composed of small to medium-sized blast cells.",,
2A80,Follicular lymphoma,,"Follicular lymphoma (FL) is a neoplasm composed of follicle centre (germinal centre) B-cells (typically both centrocytes and centroblasts/large transformed cells), which usually has at least a partially follicular pattern. t(14;18) with BCL2 rearrangement is frequently observed. If diffuse areas of any size comprised predominantly or entirely of blastic cells are present in any case of follicular lymphoma, a diagnosis of diffuse large B-cell lymphoma is also made. Lymphomas composed of centro cytes and centroblasts with an entirely diffuse pattern in the sampled tissue may be included in this category.",follicular lymphoma with or without diffuse areas,Mature T-cell or NK-cell neoplasms
2A80.0,Follicular lymphoma grade 1,,,,
2A80.1,Follicular lymphoma grade 2,,,,
2A80.2,Follicular lymphoma grade 3,,,,
2A80.3,Primary cutaneous follicle centre lymphoma,,"A primary lymphoma of the skin composed of various numbers of small and large irregular neoplastic follicle center cells. Its morphologic pattern can be nodular, diffuse, or nodular and diffuse. It presents with solitary or grouped plaques and tumours, and it usually involves the scalp, forehead, or trunk. It rarely involves the legs. This type of cutaneous lymphoma tends to remain localised to the skin, and it has a favorable prognosis.",,
2A80.4,Paediatric type follicular lymphoma,,"A variant of follicular lymphoma often involving cervical or other peripheral lymph nodes and the Waldeyer ring. It is frequently localised, and often lacks BCL-2 protein expression and never has a BCL2 translocation. It is usually but not exclusively seen in the pediatric population. The prognosis is usually favorable.",,
2A80.5,Follicular lymphoma in situ,,,,
2A80.6,Follicular lymphoma of small intestine,,,,
2A81,Diffuse large B-cell lymphomas,,Non-Hodgkin lymphomas are characterised by a proliferation of predominantly large neoplastic B lymphocytes.,,
2A81.0,Primary mediastinal large B-cell lymphoma,,A large B-cell non-Hodgkin lymphoma arising in the mediastinum. Morphologically it is characterised by a massive diffuse lymphocytic proliferation associated with compartmentalizing fibrosis.,,
2A81.1,Intravascular large B-cell lymphoma,,,,
2A81.2,Plasmablastic lymphoma,,An aggressive diffuse large B-cell lymphoma frequently arising in the setting of HIV infection and characterised by the presence of large neoplastic cells resembling B-immunoblasts which have the immunophenotypic profile of plasma cells. Sites of involvement include the oral cavity and other extranodal sites,,
2A81.3,Lymphomatoid granulomatosis,,,,
2A81.4,T-cell/histiocyte rich large B-cell lymphoma,,A large B-cell lymphoma characterised by the presence of a limited number of scattered neoplastic large B-lymphocytes which are admixed with numerous non-neoplastic T-lymphocytes and frequently histiocytes.,,
2A81.5,Primary diffuse large B-cell lymphoma of central nervous system,,,,
2A81.6,Epstein-Barr Virus-positive diffuse large B-cell lymphoma of the elderly,,An aggressive diffuse large B-cell lymphoma affecting patients older than 50 years. Epstein-Barr virus is present in all cases. There is no known history of immunodeficiency or prior lymphoma. The majority of patients present with extranodal disease.,,
2A81.7,Diffuse large B-cell lymphoma associated with chronic inflammation,,A diffuse large B-cell lymphoma arising in body cavities or narrow spaces of long standing chronic inflammation. The classic example is the pyothorax-associated lymphoma that arises in the pleural cavity of patients with a history of long standing pyothorax.,,
2A81.8,ALK-positive large B-cell lymphoma,,A usually aggressive large B-cell lymphoma characterised by the presence of monomorphic immunoblast-like neoplastic B-lymphocytes in a sinusoidal growth pattern. The neoplastic B-lymphocytes express the ALK kinase but they lack the 2;5 translocation.,,
2A81.9,Primary effusion lymphoma,,"An aggressive non-Hodgkin B-cell lymphoma composed of large cells, presenting as a serous effusion without detectable tumour masses. It is universally associated with human herpes virus 8 (HHV-8)/Kaposi sarcoma herpes virus (KSHV) [HHV-8/KSHV]. It mostly occurs in the setting of immunodeficiency; most cases have been reported in HIV positive patients. The most common sites of involvement are the pleural, pericardial, and peritoneal cavities. The prognosis is extremely unfavorable.",,
2A81.A,"Primary cutaneous diffuse large B-cell lymphoma, leg type",,"An aggressive primary cutaneous B-cell lymphoma, usually involving the lower leg. It is composed of a generally monotonous proliferation of immunoblasts, or less frequently centroblasts, with few admixed reactive cells. This type of lymphoma occurs most often in the elderly who present with rapidly growing tumours, usually on one or both legs. Dissemination to extracutaneous sites is frequent.",,
2A82,Mature B-cell neoplasm with leukaemic behaviour,,,,
2A82.0,Chronic lymphocytic leukaemia or small lymphocytic lymphoma,,"An indolent, mature B-cell neoplasm composed of small, round B-lymphocytes. When the bone marrow and peripheral blood are involved, the term chronic lymphocytic leukaemia is used. The term small lymphocytic lymphoma is restricted to cases which do not show leukemic involvement of the bone marrow and peripheral blood.",Small cell B-cell lymphoma,
2A82.00,Chronic lymphocytic leukaemia of B-cell type,,"Chronic lymphocytic leukaemia/small lymphocytic lymphoma (CLL/SLL) is a neoplasm composed of monomorphic small, round to slightly irregular B lymphocytes in the peripheral blood (PB), bone marrow (BM), spleen and lymph nodes, admixed with prolymphocytes and paraimmunoblasts forming proliferation centres in tissue infiltrates. The CLL/SLL cells usually coexpress CD5 and CD23. In the absence of extramedullary tissue involvement, there must be <5x109/L monoclonal lymphocytes with a CLL phenotype in the PB. The International Workshop on Chronic Lymphocytic Leukemia (IWCLL) report requires that the lymphocytosis be present for at least 3 months and also allows for the diagnosis of CLL to be made with lower lymphocyte counts in patients with cytopenias or disease-related symptoms. Whether patients who would have fulfilled the criteria in the past for CLL but who fulfill the criteria only for monoclonal B lymphocytosis (MBL) are better considered to have low stage CLL or MBL remains to be determined. Some may prefer to still consider many of these cases more like CLL. The term SLL is used for non-leukaemic cases with the tissue morphology and immunophenotype of CLL. The IWCLL definition of SLL requires lymphadenopathy, no cytopenias due to BM infiltration by CLL/SLL and <5x109/L PB B-cells.",Lymphoplasmacytic leukaemia,Lymphoplasmacytic lymphoma
2A82.1,B-cell prolymphocytic leukaemia,,,,
2A82.10,B-cell prolymphocytic leukaemia in complete remission,,,,
2A82.2,Hairy-cell leukaemia,,"A neoplasm of small B-lymphocytes with hairy projections in bone marrow, spleen, and peripheral blood. Most patients present with splenomegaly and pancytopenia.",Leukaemic reticuloendotheliosis,
2A82.3,"Splenic B-cell lymphoma or leukaemia, unclassifiable",,A small B-cell clonal lymphoproliferative disorder of the spleen that does not fall into any of the other categories of mature B-cell neoplasms.,Hairy cell leukaemia-variant,
